"mdbf1","mdbf2","mdbf3","mdbf4","mdbf5","mdbf6","mdbf7","mdbf8","mdbf9","mdbf10","mdbf11","mdbf12","time_pre","lz","extra","vertr","gewis","neuro","offen","prok","trust","uni1","uni2","uni3","uni4","sicher","angst","fach","ziel","wissen","therap","lerntyp","hand","job","ort","ort12","wohnen","attent_pre","gs_post","wm_post","ru_post","time_post","attent_post"
3,3,2,1,3,3,3,3,2,2,2,3,18,5.4,2.5,3.5,3,4,3.5,2.6,2.5,0,1,0,0,3,3,4,2,NA,NA,3,2,1,2,2,2,5,2.75,2.75,2,20,5
4,3,2,1,3,3,3,4,3,4,1,3,61,6.8,5,3.5,4.5,2.5,4,2.6,2.83333333333333,0,1,1,0,4,3,3,3,5,5,3,2,1,1,2,1,5,3.25,3.25,2,42,5
3,3,2,2,2,2,3,3,3,2,2,1,29,5.2,3.5,4.5,4,4,4,2.8,2,0,1,0,0,4,3,4,2,5,4,3,2,1,2,3,2,5,2.75,2,2.25,28,5
3,1,2,2,3,3,4,3,2,2,1,2,54,5.2,1.5,3.5,3,2,4,2.8,2.83333333333333,0,1,0,0,4,3,4,2,4,4,2,2,1,2,1,4,5,2.75,2.75,2.5,37,5
1,2,2,4,3,3,3,2,2,2,4,2,36,1,1,5,3,3.5,4.5,2.5,3.16666666666667,1,1,0,0,4,4,3,2,NA,NA,1,2,1,1,1,3,5,NA,NA,NA,NA,NA
2,3,2,3,3,2,2,2,2,2,2,2,60,1.2,1,5,3,3.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,3,2,1,2,2,2,3,2,3,1,3,34,5.6,3.5,2,3.5,3,4,2.5,2.83333333333333,0,1,1,0,4,2,1,1,NA,NA,1,2,2,1,2,4,4,3,3,2.5,33,4
3,3,2,1,1,3,2,3,3,2,1,3,46,4.6,4.5,4,4.5,3,1.5,2.9,2.33333333333333,1,1,0,0,3,2,4,2,NA,NA,3,2,1,1,1,2,5,3.25,2.75,2,20,5
3,2,3,1,3,3,3,3,2,2,1,3,35,4.4,3.5,4,4,3.5,5,2.9,2.33333333333333,0,1,1,1,3,4,3,2,NA,NA,3,2,1,1,2,1,5,2.5,2,2.25,28,5
3,2,3,1,1,2,2,2,3,3,3,2,50,4.8,3,4.5,4.5,3,4.5,3,2,0,1,0,1,4,3,4,2,3,5,3,2,1,1,2,4,5,2.75,2.75,3,42,4
4,2,3,1,2,3,3,4,2,3,1,3,78,6,3.5,4,4,2.5,4,2.3,2.5,1,1,0,0,4,2,3,4,NA,NA,3,2,2,2,1,3,5,3.25,3,2,45,5
3,2,4,1,2,4,3,4,1,3,1,4,47,6.2,3,5,2,2,3,2.5,2,0,1,1,0,3,1,1,4,NA,NA,3,2,2,1,2,1,5,3.25,2.5,1.5,46,5
3,2,3,1,2,2,2,3,3,4,2,3,36,3,3,3,2.5,3.5,4,2.6,2.16666666666667,0,1,0,0,2,3,3,4,NA,NA,1,2,1,2,2,2,4,2.75,2.5,2.25,18,4
3,2,4,2,4,2,4,3,1,2,1,2,41,6,5,2,2.5,2,4,2.8,2.16666666666667,0,1,1,0,4,2,3,2,NA,NA,1,2,1,2,1,2,5,3.25,1.75,2.5,28,4
4,3,2,1,2,3,3,3,2,3,1,3,43,5.6,3,3.5,3,2.5,4,2.6,2.66666666666667,0,1,0,0,3,2,4,2,NA,NA,3,2,1,1,1,3,4,NA,NA,NA,NA,NA
3,2,3,2,3,2,3,3,3,2,3,2,126,5,3.5,4,2,3.5,5,2.8,2.66666666666667,1,1,1,0,3,4,1,2,4,5,2,2,1,2,2,2,4,2.75,2.5,2.5,47,4
3,4,2,1,2,2,2,4,1,2,2,3,50,4.6,3.5,4.5,3.5,4.5,3.5,3,2.5,0,1,0,0,4,3,1,2,NA,NA,3,2,1,1,1,3,5,3.25,3.75,2.25,25,5
4,4,1,1,1,3,1,4,3,3,1,4,42,6,4.5,3.5,3.5,3.5,3.5,2.5,3,0,1,0,0,4,3,1,2,NA,NA,3,2,2,1,2,1,5,2.75,2,2,37,5
3,3,1,1,2,3,3,3,2,4,2,3,36,3.2,2.5,3.5,3.5,3,4,2.6,2.66666666666667,0,1,1,0,3,3,4,2,NA,NA,3,2,1,1,2,1,4,NA,NA,NA,NA,NA
3,3,2,1,2,3,2,3,3,3,2,3,87,6.4,2.5,4,2.5,3,5,2.3,3,0,1,0,1,4,2,1,2,NA,NA,3,2,2,1,2,1,5,3.25,3,2.75,48,5
3,4,1,1,2,4,1,4,1,3,1,4,31,4.4,2,3.5,3.5,3,2.5,3,1.83333333333333,0,1,0,0,4,4,4,2,4,4,1,2,2,2,2,2,5,3,2.5,2,48,5
3,3,2,1,1,3,2,2,2,3,2,3,75,3.4,2,3,3.5,4,3.5,2.7,3,0,1,0,0,4,3,4,2,NA,NA,1,NA,1,2,1,4,4,2.5,2.5,2.5,56,4
3,3,2,1,2,3,3,3,2,3,2,3,56,5.8,2,3.5,3.5,2,3,2.7,2.33333333333333,0,1,0,0,3,3,4,3,3,5,3,2,1,2,1,2,5,2.75,2.25,2.5,30,5
3,2,2,1,1,3,2,4,1,3,1,3,50,5.6,3,4,5,3,2.5,2.5,2,1,1,0,0,3,3,4,4,NA,NA,1,2,1,2,1,2,5,3.25,2.75,2.25,32,5
3,3,1,1,2,3,2,4,1,3,2,3,28,5.8,3,4,3.5,3,3,2.5,2.83333333333333,0,1,1,0,3,3,3,4,NA,NA,3,2,1,1,1,3,4,3.25,2.5,2.5,22,5
4,4,1,1,1,3,2,4,1,3,1,3,24,6,4.5,3.5,4,2,5,2.8,2.5,0,1,1,1,3,3,4,2,3,5,3,2,2,1,2,1,5,3,3,2.75,38,5
2,3,3,2,3,1,2,3,3,2,2,2,30,4.8,3,4,3,4,2,2.7,2.16666666666667,1,1,0,0,4,4,4,2,3,5,3,2,2,1,2,1,5,3.25,2.5,2.75,28,5
2,3,4,3,3,1,2,2,3,2,3,3,46,2.8,4,2,4,4,4.5,2.9,3,1,1,0,0,4,4,4,4,2,5,3,2,1,1,1,4,4,2.25,3,3,49,4
4,3,2,1,2,2,2,4,3,4,1,2,58,6,3.5,4,5,2.5,5,2.6,1.66666666666667,0,1,1,0,4,2,1,1,NA,NA,3,2,1,2,1,2,5,3.25,3.25,2,35,5
3,2,1,1,3,2,2,3,2,2,1,2,28,4,3.5,4,3.5,4,4.5,2.5,3.16666666666667,1,1,0,0,2,3,4,2,4,4,1,2,1,1,1,1,4,2.75,2.5,2.5,23,4
4,2,1,1,2,4,3,4,1,3,1,3,59,4.6,2,3,4,3,2.5,2.4,2.16666666666667,0,1,0,0,3,1,1,1,4,4,3,2,1,1,1,3,4,2.75,2.5,2,29,4
4,4,1,1,1,3,1,4,1,4,1,3,29,6,4.5,2,5,2,1.5,2.4,3,0,1,0,1,4,1,4,2,NA,NA,1,2,1,1,2,3,5,3.5,3,1.5,42,5
3,4,2,1,1,4,2,4,2,4,1,4,51,6.4,4.5,3.5,3,2.5,5,2.9,2.16666666666667,0,1,0,1,3,3,2,3,NA,NA,3,2,2,1,2,1,5,3.25,2.75,1.5,60,5
3,2,1,1,3,2,3,3,2,2,1,3,50,6,2,3.5,4.5,4,1.5,2.9,2.66666666666667,0,1,0,1,4,3,2,4,4,4,3,2,1,2,1,2,4,2.75,2.5,2.75,32,5
3,2,2,3,3,3,3,2,2,2,2,3,33,6.4,3,4.5,4,1.5,2.5,2.7,2.66666666666667,0,1,0,0,3,1,3,2,3,5,1,2,1,1,2,3,5,2.5,2.25,2.25,29,5
3,2,3,2,3,2,4,3,2,3,1,2,70,3.8,3,3.5,4,3.5,4.5,2.6,2.16666666666667,0,1,1,1,3,3,4,2,NA,NA,3,2,1,1,2,3,5,NA,NA,NA,NA,NA
2,2,4,4,3,2,4,2,3,2,3,2,37,3,4,3.5,3.5,1.5,5,2.7,3.5,1,0,0,0,3,3,2,3,NA,NA,1,2,2,2,3,1,4,NA,NA,NA,NA,NA
4,2,2,1,2,3,3,4,2,3,1,3,63,6.2,4,3.5,4,2.5,5,2.4,2.5,0,1,1,0,4,2,4,2,NA,NA,3,2,1,2,1,2,5,3,2.5,2.5,54,5
4,3,2,1,1,2,2,4,2,3,1,3,38,4,NA,4.5,4.5,3,3,2.6,2.16666666666667,0,1,0,0,3,1,5,4,NA,NA,1,2,2,2,1,2,5,3.5,2.75,3,31,5
4,4,2,1,2,4,1,4,3,3,1,4,48,6.4,3.5,4.5,3.5,4,5,2.7,2.66666666666667,0,1,0,0,4,2,4,2,NA,NA,3,2,2,1,1,2,5,3,3.5,2.25,30,5
3,3,2,1,1,2,1,4,3,3,3,3,48,4.8,1.5,2.5,4,4.5,2.5,2.8,2.83333333333333,1,1,0,0,3,4,1,2,4,4,3,1,1,1,2,4,5,2.5,3,2.25,104,5
2,1,2,1,3,1,3,3,1,2,3,2,101,5.6,3,2,4.5,4,2.5,2.8,2.5,0,1,1,0,3,2,1,3,NA,NA,1,2,1,2,1,2,5,2.5,3,1.75,35,5
2,2,2,3,3,4,3,2,2,2,1,3,61,1,3,2,3,2,1,2.9,2.33333333333333,0,1,0,0,4,2,4,2,4,5,1,2,1,2,2,3,5,2.5,2,2.75,37,5
3,2,3,2,4,3,3,3,3,4,3,2,28,2.6,2,3,3,4,4,2.6,2.5,0,1,1,0,2,2,2,2,NA,NA,1,2,1,1,1,3,5,2,1.75,2.5,18,5
3,4,1,1,2,4,2,3,1,4,1,3,34,6,4,2.5,3,1.5,5,2.5,2.16666666666667,0,1,0,0,3,2,1,4,NA,NA,3,2,1,1,1,3,5,3.5,2.75,2.25,31,5
3,2,1,1,2,3,4,3,3,2,2,3,59,6.2,3,4,4.5,3,3,2.6,2.66666666666667,0,1,0,0,3,2,1,1,NA,NA,3,2,1,2,1,2,5,3,2.25,2.25,50,5
3,2,4,1,3,1,3,3,4,3,1,2,86,4,3,4,3.5,4.5,4,2.8,2.33333333333333,0,1,0,1,4,2,1,NA,5,5,3,1,1,1,1,4,4,2.75,2,3,80,4
3,3,1,1,1,3,2,3,1,2,1,3,60,5,4.5,3,4,2.5,2.5,2.7,3,0,1,0,0,4,2,5,2,NA,NA,1,2,1,1,2,4,5,3.25,3.25,2,31,5
3,4,1,1,2,3,3,3,3,3,2,3,52,4,3,2.5,3.5,4,4,3.1,3,1,1,1,1,4,3,2,3,NA,NA,3,2,2,1,1,3,4,3,2.75,2.25,36,4
3,4,1,1,1,3,1,3,1,3,1,3,49,6.2,3.5,3.5,4.5,1.5,3.5,2.4,2.66666666666667,0,1,0,0,3,2,4,4,3,4,3,2,1,1,1,2,4,3.25,2.75,2.25,29,5
3,2,1,1,3,2,3,3,1,2,2,3,256,5.4,4.5,3.5,4.5,2,3,2.9,3.16666666666667,0,1,0,0,4,3,4,2,4,3,1,1,1,2,2,1,5,2,2.25,2.75,90,5
3,3,1,1,2,3,3,3,1,3,1,4,34,6,3,4.5,5,4,4,2.6,2.33333333333333,1,1,1,1,4,2,4,2,5,5,3,2,1,1,1,1,5,3.25,3,1.75,17,5
3,1,2,1,3,3,4,4,2,3,1,3,55,5.6,4,3.5,3,2,5,2.5,2.83333333333333,0,1,1,0,4,2,4,2,4,5,3,2,1,1,1,4,5,NA,NA,NA,NA,NA
3,3,1,1,2,3,1,4,1,3,1,3,44,5.4,4.5,4,4,2.5,5,2.7,2.33333333333333,0,1,0,0,3,2,2,2,NA,NA,3,2,NA,1,2,3,5,3,3.5,2.25,31,5
4,2,1,1,1,4,2,4,1,3,1,4,32,5,4.5,4.5,3.5,4,3.5,2.6,2.33333333333333,0,1,1,0,3,3,4,2,NA,NA,3,2,1,1,1,3,5,3.25,2.75,2,25,5
2,1,3,3,3,2,4,2,3,2,3,2,49,3.8,2,3,4.5,4,3.5,3,2.33333333333333,0,1,0,0,3,4,4,2,4,5,1,1,1,1,1,1,4,2.75,2,2.25,33,5
4,3,2,1,3,3,3,3,2,2,2,3,49,5.6,2.5,4,4,3.5,4.5,2.8,2.5,0,1,1,1,3,3,3,4,NA,NA,1,2,1,1,1,2,4,3,2.75,2.25,64,4
4,2,3,1,1,3,2,4,2,3,1,2,66,4.8,2.5,4,4.5,3.5,3.5,2.6,2.33333333333333,1,1,0,0,3,2,5,2,5,5,3,2,1,1,1,4,5,3.5,2.5,2.75,47,5
4,2,2,1,2,2,2,3,3,3,1,3,29,6.2,4,4.5,3,2,4,3.2,2,0,0,1,0,4,1,5,3,NA,NA,2,2,1,1,1,4,5,2.75,2.5,3,23,5
3,3,2,1,2,2,1,3,3,2,1,3,53,6,3,4,4.5,4,4,2.8,2.16666666666667,1,1,1,1,4,3,3,3,NA,NA,3,2,2,1,1,2,5,3.25,3.25,2,36,5
3,2,2,1,1,2,3,3,2,3,2,3,48,6,4,3.5,4.5,2,3,2.1,2.5,1,0,0,0,4,2,4,3,NA,NA,3,2,1,2,2,2,5,2.75,2.25,2.25,28,5
3,1,3,3,4,2,4,2,3,3,2,2,33,2.6,4,2,2.5,2.5,3,3.1,3.16666666666667,0,1,0,0,3,4,2,4,4,4,3,2,2,1,1,2,5,2.75,3.25,2.25,47,5
4,2,3,1,3,2,2,3,3,3,2,2,47,4.2,2,3,3,4,4.5,2.9,2,1,1,0,0,3,4,1,3,NA,NA,3,2,2,2,1,1,5,3.25,2,2.5,30,5
3,2,3,2,3,2,3,2,3,2,3,2,74,4,2.5,3,2.5,5,5,2.6,3.16666666666667,0,1,0,0,3,3,4,2,NA,NA,1,2,2,1,2,1,4,NA,NA,NA,NA,NA
3,2,2,3,2,3,3,3,3,3,2,3,46,3.2,3,2.5,2,3,4,2.3,2.5,0,0,0,0,4,3,1,1,NA,NA,1,2,1,1,1,3,5,2.75,2.75,2.25,31,3
2,3,2,1,1,3,3,4,4,3,1,3,66,3.2,3,4,3,2,5,2.6,2.66666666666667,0,1,0,0,4,3,4,4,NA,NA,3,2,2,2,1,4,4,3.25,2.5,2.25,30,5
4,4,1,1,1,4,1,4,1,4,1,3,25,7,4.5,4.5,5,3,5,2.3,2.5,0,1,0,0,4,2,4,2,NA,NA,3,2,1,1,1,2,5,3.25,3,1.75,18,5
4,2,2,1,1,3,2,4,2,3,2,3,123,5.8,3,4.5,3,3.5,3.5,3.1,2,1,0,0,0,4,3,4,4,5,5,3,2,1,1,1,3,5,3.25,3.25,2.5,30,5
4,3,1,1,3,4,2,4,1,4,1,4,36,6.6,5,3.5,4,2,4,2.9,2.16666666666667,1,1,1,0,3,3,2,3,NA,NA,3,2,2,1,1,3,5,3.25,2.25,2,40,5
3,2,2,1,3,3,3,3,1,3,1,2,41,6.2,4,4.5,4,2.5,5,2.6,2.66666666666667,0,1,1,0,3,2,4,2,NA,NA,1,2,2,1,2,4,5,3.25,2,3,26,5
4,3,1,1,1,3,3,3,2,3,2,3,32,5.4,5,4.5,4,2.5,3,2.4,2.83333333333333,0,1,0,0,3,2,1,1,NA,NA,3,2,2,2,1,2,5,3.5,3,2,22,5
4,4,1,1,1,3,3,4,1,3,1,4,45,5,4.5,4.5,3,2,4.5,2.3,2.66666666666667,0,1,1,0,4,1,2,1,NA,NA,3,2,2,1,3,3,5,3.25,3,1.75,18,5
2,1,4,3,4,2,3,2,4,2,2,2,21,4.2,1,4,5,5,5,2.4,2.33333333333333,0,1,0,0,4,4,4,2,4,5,1,2,1,2,2,2,5,3,2,2,29,5
2,3,2,2,2,3,2,3,3,3,2,3,110,3.2,2.5,2,2.5,2.5,5,2.4,2.33333333333333,0,1,0,0,3,3,1,3,4,4,1,2,2,2,1,2,4,2.75,2.75,2.25,37,4
3,3,1,1,1,3,1,3,2,3,1,2,37,4.8,4.5,2.5,3.5,3,4,2.4,2.83333333333333,0,1,0,0,3,3,5,2,3,5,2,2,1,2,1,2,5,2.5,2.75,2.75,32,5
3,3,4,2,3,1,3,3,4,2,3,2,58,4.4,4,3,3,4.5,3,3.1,3.66666666666667,0,1,1,0,3,4,4,2,NA,NA,1,2,2,1,2,3,5,2.5,2.75,3,29,5
3,3,2,1,1,3,1,4,2,3,1,3,46,4,3.5,4.5,4.5,4,4,2.4,2,0,1,1,0,4,2,3,3,NA,NA,3,2,1,2,2,2,5,3.25,3.5,1.25,27,5
3,2,2,1,1,3,2,3,1,3,1,2,24,5.6,2.5,4,4.5,4,3.5,2.8,2.83333333333333,0,1,0,1,3,2,2,3,4,4,3,2,1,2,1,2,5,NA,NA,NA,NA,NA
4,3,2,1,1,3,2,4,2,4,3,3,46,6.2,4,5,4,3.5,3.5,2.9,2.66666666666667,1,1,1,1,4,3,4,2,4,5,2,2,1,1,3,1,4,3,2.25,2.25,33,4
4,3,1,1,1,3,2,3,1,3,1,3,73,4.8,3.5,2.5,3.5,4.5,3.5,2.8,2.66666666666667,0,1,0,0,3,4,2,2,NA,NA,3,2,2,2,1,2,4,3.25,3,1.75,26,5
4,3,1,1,2,3,2,3,2,4,1,2,41,4.8,5,4,4,3.5,4,2.6,2.83333333333333,0,1,1,0,3,3,2,3,NA,NA,1,2,1,2,1,2,5,3.5,2.5,2.75,33,4
4,3,1,1,2,3,1,4,1,3,1,4,33,4.6,4.5,4,4,2.5,5,2.7,2.5,0,0,0,0,4,2,4,2,5,5,3,2,2,1,1,3,5,3.25,3,2.25,30,5
4,4,1,1,1,4,3,4,1,2,1,2,28,5.6,4.5,3.5,4,3,2.5,2.6,2,1,1,0,0,3,2,2,2,NA,NA,2,2,2,1,2,3,5,NA,NA,NA,NA,NA
3,3,2,1,2,3,2,3,2,3,2,3,31,4.4,4,3.5,4,3,4,2.7,2.66666666666667,1,1,1,1,3,2,4,2,3,4,3,2,1,1,1,2,4,2.75,2.25,2,32,4
3,2,4,2,3,2,3,3,3,2,2,2,75,6,4.5,3,3,4,5,2.9,3,0,1,1,1,3,4,4,2,5,5,1,2,1,1,2,1,5,2.75,1.75,3.25,63,5
3,3,1,1,2,3,2,3,2,3,1,3,42,5,4,1.5,3,2.5,5,2.9,2.33333333333333,0,0,0,0,4,3,3,2,3,5,2,2,1,1,3,2,4,2.25,2,2.75,56,5
4,3,2,1,2,3,2,3,2,2,2,3,82,4.4,2.5,4.5,5,4,4.5,2.6,1.83333333333333,0,1,1,0,3,3,4,3,NA,NA,3,2,1,2,1,2,5,3.25,3,2.25,47,5
4,3,2,1,3,4,3,4,2,3,1,4,37,5,4,4,3,3.5,3,2.2,2.33333333333333,0,0,0,0,3,3,3,4,NA,NA,1,2,1,1,1,3,4,3,2.75,2.5,28,4
3,3,2,1,1,3,1,3,2,2,3,1,35,5.4,2,3,4,4.5,4.5,2.8,3,1,1,0,0,4,3,5,2,5,4,3,2,2,2,1,2,5,2.25,2.5,2.75,29,5
3,3,2,2,2,3,3,3,1,3,2,3,38,3.8,4.5,4,2.5,3,5,2.7,2.66666666666667,0,1,1,0,3,4,3,4,NA,NA,3,2,2,1,2,1,4,2.75,2,2.5,27,4
3,2,2,1,3,3,3,3,1,3,1,3,38,3.6,4,3,2.5,1.5,3,3,2.16666666666667,0,1,1,0,3,2,4,2,NA,NA,3,1,1,1,2,1,5,3.25,2.5,2.25,33,5
3,4,1,2,2,3,2,3,1,3,1,3,29,4.4,2,2.5,4.5,3.5,3.5,2.7,3.16666666666667,0,1,0,0,3,2,3,3,4,4,1,2,1,2,1,2,5,3.25,3.25,2,23,5
2,1,3,2,3,4,4,3,2,2,2,2,37,4,4,2.5,2,1.5,4,2.4,3.5,0,1,1,0,4,1,4,2,2,5,3,2,1,2,1,2,3,2.5,2.25,2.5,32,2
3,2,4,1,3,4,3,3,3,3,1,2,56,4.8,3.5,1.5,3,1.5,2,2.2,2.66666666666667,0,1,1,0,2,2,1,1,NA,NA,3,2,2,1,2,1,5,3.25,2,2.5,43,5
2,4,2,2,1,2,1,2,2,4,2,2,54,4.6,3.5,4,4,5,3,2.7,2.66666666666667,0,0,0,1,3,2,4,2,NA,NA,3,2,1,2,2,3,5,2.25,3.25,2.25,52,5
4,3,1,1,1,4,2,4,1,3,1,4,33,6.8,4,3,3.5,1,4.5,2.4,2.16666666666667,0,0,0,0,3,2,3,1,NA,NA,1,2,1,2,2,1,5,3.25,2.5,2,26,5
3,1,2,1,1,1,2,3,3,4,1,2,74,4.2,3.5,2,3,3,3.5,2.8,2.83333333333333,0,1,0,0,4,3,2,2,NA,NA,3,1,1,1,1,3,4,3,2.25,3,44,4
3,1,3,2,3,2,4,3,2,2,2,3,41,4.8,2.5,4,4,3.5,4,2.6,2.83333333333333,1,0,1,0,2,4,4,2,NA,NA,3,2,1,1,1,1,5,2.75,1.75,2.25,40,5
2,2,3,3,3,2,4,2,4,2,2,2,55,2.6,4,3,3,3.5,5,2.2,1.83333333333333,1,1,1,0,4,3,1,1,4,4,1,2,2,1,1,1,5,2,2.25,3,26,5
3,3,3,1,1,3,2,3,1,2,1,3,37,3.4,2,4,3.5,3,3,2.3,2.83333333333333,0,1,0,0,3,3,1,2,3,3,3,2,1,2,1,3,5,3.25,3.25,2.25,25,5
2,2,4,2,2,2,2,2,4,3,3,2,148,5,2,2.5,2.5,4,4.5,2.7,2.83333333333333,0,1,0,0,3,2,4,2,3,5,2,2,2,2,1,3,4,3.25,2.5,2.25,49,3
2,3,2,3,1,3,2,2,4,2,3,3,46,3.8,4.5,2.5,3.5,2,5,3,2.83333333333333,0,1,0,0,4,2,4,4,4,5,2,2,2,2,1,2,5,NA,NA,NA,NA,NA
3,3,2,1,2,4,2,4,2,3,1,4,30,5.8,4.5,5,2.5,2.5,4.5,2.5,2.5,0,0,0,1,4,3,5,3,4,5,2,2,2,2,1,NA,4,3.25,3.25,1.75,32,5
3,2,2,1,2,3,3,3,1,3,1,3,38,4.4,5,3.5,3,4,4,2.7,2.5,0,1,1,0,3,3,5,1,NA,NA,3,2,1,1,2,1,5,3.25,2.25,2.5,38,5
4,3,1,1,2,4,2,4,1,2,1,4,38,6.8,5,3.5,4.5,1.5,4,3,2.16666666666667,1,1,1,0,4,2,3,2,4,5,3,1,1,1,2,1,5,3.25,2.75,1.75,35,5
4,3,1,1,1,4,3,4,1,4,1,4,23,6.2,3,3.5,3.5,3,5,2.6,2.66666666666667,0,0,0,0,4,1,3,2,5,5,3,2,1,1,1,3,5,3,2.75,1.75,39,5
3,3,1,2,1,3,1,3,2,4,1,3,21,6,2,2,5,3,4,2.8,2.83333333333333,0,1,0,1,4,2,5,4,NA,NA,1,2,1,1,1,3,5,3.5,2.5,1.75,21,5
4,3,1,1,2,3,2,4,2,4,1,3,26,5.8,4,5,4.5,3,4,2.7,3,0,1,1,0,4,3,4,1,3,4,3,2,1,2,1,3,5,3,2,2.5,96,5
